Month,Stream Flow (cm),Surface Runoff (cm),Subsurface Flow (cm),Point Src Flow (cm),ET (cm),Precip (cm),WS_Name
Oct,0.13,0.03,0.1,0,2.38,2.99,Lake_Mountain___Israel_Canyon
Nov,0.13,0.06,0.07,0,1.74,3.12,Lake_Mountain___Israel_Canyon
Dec,0.16,0.1,0.06,0,0.64,3.18,Lake_Mountain___Israel_Canyon
Total,3.82,0.68,3.12,0,32.45,36.01,Lake_Mountain___Israel_Canyon
Jan,0.29,0.25,0.03,0,0.52,2.73,Lake_Mountain___Limekiln_Canyon
Feb,0.26,0.16,0.1,0,1.26,2.74,Lake_Mountain___Limekiln_Canyon
Mar,0.39,0.13,0.26,0,3.35,4.03,Lake_Mountain___Limekiln_Canyon
Apr,0.33,0.01,0.32,0,6.92,4.21,Lake_Mountain___Limekiln_Canyon
May,0.27,0,0.27,0,8.06,4.01,Lake_Mountain___Limekiln_Canyon
Jun,0.19,0,0.19,0,2.66,2.47,Lake_Mountain___Limekiln_Canyon
Jul,0.15,0,0.15,0,1.87,1.89,Lake_Mountain___Limekiln_Canyon
Aug,0.11,0,0.11,0,1.94,1.94,Lake_Mountain___Limekiln_Canyon
Sep,0.09,0.02,0.08,0,2.34,2.7,Lake_Mountain___Limekiln_Canyon
Oct,0.08,0.02,0.06,0,2.44,2.99,Lake_Mountain___Limekiln_Canyon
Nov,0.1,0.06,0.04,0,1.82,3.12,Lake_Mountain___Limekiln_Canyon
Dec,0.14,0.11,0.03,0,0.68,3.18,Lake_Mountain___Limekiln_Canyon
Total,2.4,0.76,1.64,0,33.86,36.01,Lake_Mountain___Limekiln_Canyon
Jan,0.25,0.23,0.02,0,0.49,2.73,Lake_Mountain___Little_Cover
Feb,0.17,0.14,0.03,0,1.18,2.74,Lake_Mountain___Little_Cover
Mar,0.25,0.11,0.14,0,3.13,4.03,Lake_Mountain___Little_Cover
Apr,0.23,0.01,0.22,0,6.71,4.21,Lake_Mountain___Little_Cover
May,0.2,0,0.2,0,9.07,4.01,Lake_Mountain___Little_Cover
Jun,0.15,0,0.15,0,2.99,2.47,Lake_Mountain___Little_Cover
Jul,0.11,0,0.11,0,1.87,1.89,Lake_Mountain___Little_Cover
Aug,0.08,0,0.08,0,1.94,1.94,Lake_Mountain___Little_Cover
Sep,0.07,0.01,0.06,0,2.33,2.7,Lake_Mountain___Little_Cover
Oct,0.06,0.02,0.04,0,2.39,2.99,Lake_Mountain___Little_Cover
Nov,0.08,0.05,0.03,0,1.74,3.12,Lake_Mountain___Little_Cover
Dec,0.12,0.1,0.02,0,0.64,3.18,Lake_Mountain___Little_Cover
Total,1.77,0.67,1.1,0,34.48,36.01,Lake_Mountain___Little_Cover
Jan,0.33,0.24,0.09,0,0.53,2.73,Lake_Mountain___Losee_Canyon
Feb,0.38,0.16,0.22,0,1.28,2.74,Lake_Mountain___Losee_Canyon
Mar,0.59,0.13,0.46,0,3.41,4.03,Lake_Mountain___Losee_Canyon
Apr,0.5,0.01,0.49,0,6.94,4.21,Lake_Mountain___Losee_Canyon
May,0.4,0,0.4,0,7.02,4.01,Lake_Mountain___Losee_Canyon
Jun,0.29,0,0.29,0,2.57,2.47,Lake_Mountain___Losee_Canyon
Jul,0.22,0,0.22,0,1.87,1.89,Lake_Mountain___Losee_Canyon
Aug,0.16,0,0.16,0,1.94,1.94,Lake_Mountain___Losee_Canyon
Sep,0.13,0.02,0.11,0,2.34,2.7,Lake_Mountain___Losee_Canyon
Oct,0.11,0.03,0.09,0,2.45,2.99,Lake_Mountain___Losee_Canyon
Nov,0.12,0.06,0.06,0,1.84,3.12,Lake_Mountain___Losee_Canyon
Dec,0.16,0.11,0.05,0,0.68,3.18,Lake_Mountain___Losee_Canyon
Total,3.39,0.76,2.64,0,32.87,36.01,Lake_Mountain___Losee_Canyon
Jan,0.14,0.13,0.01,0,0.72,2.29,Lake_Mountain___Miners_Canyon
Feb,0.22,0.19,0.03,0,1.65,2.7,Lake_Mountain___Miners_Canyon
Mar,0.15,0.07,0.08,0,4.08,4.15,Lake_Mountain___Miners_Canyon
Apr,0.11,0.01,0.1,0,7.13,4.09,Lake_Mountain___Miners_Canyon
May,0.08,0.01,0.08,0,5.6,3.36,Lake_Mountain___Miners_Canyon
Jun,0.05,0,0.05,0,1.76,1.72,Lake_Mountain___Miners_Canyon
Jul,0.04,0,0.04,0,2.45,2.45,Lake_Mountain___Miners_Canyon
Aug,0.04,0.01,0.03,0,2.94,2.96,Lake_Mountain___Miners_Canyon
Sep,0.06,0.03,0.02,0,2.48,2.86,Lake_Mountain___Miners_Canyon
Oct,0.03,0.01,0.02,0,2.79,3.04,Lake_Mountain___Miners_Canyon
Nov,0.07,0.06,0.01,0,1.88,2.91,Lake_Mountain___Miners_Canyon
Dec,0.09,0.08,0.01,0,0.9,2.67,Lake_Mountain___Miners_Canyon
Total,1.08,0.6,0.48,0,34.38,35.2,Lake_Mountain___Miners_Canyon
Jan,0.1,0.07,0.02,0,0.71,2.29,Lake_Mountain___Pfeiffer_Canyon
Feb,0.2,0.12,0.08,0,1.63,2.7,Lake_Mountain___Pfeiffer_Canyon
Mar,0.18,0.04,0.15,0,4.03,4.15,Lake_Mountain___Pfeiffer_Canyon
Apr,0.17,0,0.16,0,7.19,4.09,Lake_Mountain___Pfeiffer_Canyon
May,0.13,0,0.13,0,5.53,3.36,Lake_Mountain___Pfeiffer_Canyon
Jun,0.09,0,0.09,0,1.76,1.72,Lake_Mountain___Pfeiffer_Canyon
Jul,0.07,0,0.07,0,2.45,2.45,Lake_Mountain___Pfeiffer_Canyon
Aug,0.05,0,0.05,0,2.94,2.96,Lake_Mountain___Pfeiffer_Canyon
Sep,0.05,0.01,0.04,0,2.48,2.86,Lake_Mountain___Pfeiffer_Canyon
Oct,0.03,0,0.03,0,2.79,3.04,Lake_Mountain___Pfeiffer_Canyon
Nov,0.05,0.03,0.02,0,1.88,2.91,Lake_Mountain___Pfeiffer_Canyon
Dec,0.06,0.05,0.01,0,0.9,2.67,Lake_Mountain___Pfeiffer_Canyon
Total,1.18,0.32,0.85,0,34.29,35.2,Lake_Mountain___Pfeiffer_Canyon
Jan,0.16,0.09,0.08,0,0.68,2.29,Lake_Mountain___White_Knoll
Feb,0.31,0.14,0.17,0,1.58,2.7,Lake_Mountain___White_Knoll
Mar,0.34,0.04,0.3,0,3.88,4.15,Lake_Mountain___White_Knoll
Apr,0.31,0,0.31,0,7.11,4.09,Lake_Mountain___White_Knoll
May,0.24,0,0.24,0,5.03,3.36,Lake_Mountain___White_Knoll
Jun,0.17,0,0.17,0,1.76,1.72,Lake_Mountain___White_Knoll
Jul,0.13,0,0.13,0,2.45,2.45,Lake_Mountain___White_Knoll
Aug,0.1,0,0.09,0,2.94,2.96,Lake_Mountain___White_Knoll
Sep,0.08,0.02,0.07,0,2.48,2.86,Lake_Mountain___White_Knoll
Oct,0.05,0,0.05,0,2.78,3.04,Lake_Mountain___White_Knoll
Nov,0.07,0.03,0.04,0,1.85,2.91,Lake_Mountain___White_Knoll
Dec,0.08,0.06,0.03,0,0.87,2.67,Lake_Mountain___White_Knoll
Total,2.04,0.38,1.68,0,33.41,35.2,Lake_Mountain___White_Knoll
Jan,0.45,0.45,0,0,0.6,2.73,Lehi_Drain_1
Feb,0.34,0.34,0,0,1.45,2.74,Lehi_Drain_1
Mar,0.29,0.28,0.01,0,3.86,4.03,Lehi_Drain_1
Apr,0.03,0.02,0.01,0,7.02,4.21,Lehi_Drain_1
May,0.02,0.01,0.01,0,7.79,4.01,Lehi_Drain_1
Jun,0.01,0,0.01,0,2.65,2.47,Lehi_Drain_1
Jul,0.01,0,0,0,1.87,1.89,Lehi_Drain_1
Aug,0.01,0.01,0,0,1.94,1.94,Lehi_Drain_1
Sep,0.02,0.02,0,0,2.35,2.7,Lehi_Drain_1
Oct,0.07,0.07,0,0,2.49,2.99,Lehi_Drain_1
Nov,0.14,0.14,0,0,1.92,3.12,Lehi_Drain_1
Dec,0.24,0.24,0,0,0.75,3.18,Lehi_Drain_1
Total,1.63,1.58,0.04,0,34.69,36.01,Lehi_Drain_1
Jan,0.82,0.82,0,0,0.59,2.73,Lehi_Drain_2
Feb,0.69,0.69,0,0,1.44,2.74,Lehi_Drain_2
Mar,0.57,0.57,0,0,3.83,4.03,Lehi_Drain_2
